Symbol,Name,Industry,Cur_Month,Accum,%MoM,%YoY,%YoY_Accum,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,trailingPE,forwardPE
6670,復盛應用 ,運動休閒類,2682624,2682624,4.10615270939019,-8.31516525235319,-8.31516525235319,0.10564,80.352,2.7441757,20.25,21.57,10.888889,10.222531
6671,三能-KY ,,,,,,,0.09515,27.679,1.4812673,2.94,,13.945578,
6672,騰輝電子-KY ,,,,,,,0.08946,45.327,2.0208704,6.05,6.89,15.140495,13.29463
6674,鋐寶科技 ,通信網路業類,65110,65110,59.0570416513986,-41.7615542178374,-41.7615542178374,-0.21020001,18.786,1.386671,-4.04,,,
6689,伊雲谷 ,數位雲端類,885984,885984,-3.95931096607188,23.072819863145,23.072819863145,0.016139999,42.436,2.9220474,2.22,4.17,55.855854,29.73621
6691,洋基工程 ,其他電子業類,1039314,1039314,-9.85673372317118,23.1532884080107,23.1532884080107,0.11276,60.182,6.4554186,20.73,,18.740955,
6695,芯鼎 ,半導體業類,81830,81830,-4.2050057362272,25.022917557905,25.022917557905,-0.016549999,18.363,4.340249,-0.22,,,
6698,旭暉應材 ,其他電子業類,91053,91053,-28.7105689656522,5.54666852135207,5.54666852135207,-0.07334,19.004,1.8180383,-1.3,,,
6706,惠特 ,光電業類,64986,64986,-24.4032385649807,-50.5060890625357,-50.5060890625357,-0.10297,52.021,1.1706811,-2.04,4.68,,13.012821
6715,嘉基 ,電子零組件業類,242722,242722,-0.747089540337519,39.6559263521289,39.6559263521289,0.16649,45.045,4.750805,7.22,9.39,29.63989,22.790201
6719,力智 ,半導體業類,337195,337195,17.9378753379572,27.5210552788524,27.5210552788524,0.01666,103.038,3.028009,0.6,10.81,520,28.862164
6742,澤米 ,光電業類,38229,38229,-8.52555513016845,-44.8816286513452,-44.8816286513452,,,,,,,
6743,安普新 ,其他電子業類,312931,312931,-6.97983425085907,1.91465940622435,1.91465940622435,0.0027,18.325,2.7203271,0.08,4.36,623.125,11.433486
